date,monitoring_location,daily_total
2019-04-29,9 Ave West of 4 Street SE,236
2019-04-29,Bow River Pathway,994
2019-04-29,Edmonton Tr North of Memorial Dr,104
2019-04-29,Inglewood Bird Sanctuary,0
2019-04-29,Lindsay Park,0
2019-04-29,Memorial Drive at 19 St NW,443
2019-04-29,Memorial Drive at Prince's Island,0
2019-04-29,North Glenmore,0
2019-04-29,Nose Creek,52
2019-04-29,Parkdale,0
2019-04-29,Peace Bridge,866
2019-04-29,South Glenmore,236
2019-04-29,Wetlands,36
2019-04-30,10 Street North of 5 Ave NW,400
2019-04-30,12 Ave West of 2 St SW,506
2019-04-30,12 Ave West of 3 St SE,328
2019-04-30,12 Ave West of 8 St SW,434
2019-04-30,5 Street North of 10 Ave SW,1178
2019-04-30,5 Street North of 15 Ave SW,642
2019-04-30,5 Street North of 5 Ave SW,916
2019-04-30,7 Street South of 3 Ave SW,460
2019-04-30,8 Ave West of 3 Street SW,0
2019-04-30,9 Ave West of 4 Street SE,300
2019-04-30,Bow River Pathway,1076
2019-04-30,Edmonton Tr North of Memorial Dr,100
2019-04-30,Inglewood Bird Sanctuary,0
2019-04-30,Lindsay Park,0
2019-04-30,Memorial Drive at 19 St NW,468
2019-04-30,Memorial Drive at Prince's Island,0
2019-04-30,North Glenmore,0
2019-04-30,Nose Creek,548
2019-04-30,Parkdale,0
2019-04-30,Peace Bridge,832
2019-04-30,South Glenmore,182
2019-04-30,Wetlands,24
2019-05-01,10 Street North of 5 Ave NW,406
2019-05-01,12 Ave West of 2 St SW,534
2019-05-01,12 Ave West of 3 St SE,408
2019-05-01,12 Ave West of 8 St SW,516
2019-05-01,5 Street North of 10 Ave SW,1200
2019-05-01,5 Street North of 15 Ave SW,656
2019-05-01,5 Street North of 5 Ave SW,872
2019-05-01,7 Street South of 3 Ave SW,498
2019-05-01,8 Ave West of 3 Street SW,0
2019-05-01,9 Ave West of 4 Street SE,260
2019-05-01,Bow River Pathway,1088
2019-05-01,Edmonton Tr North of Memorial Dr,130
2019-05-01,Inglewood Bird Sanctuary,0
2019-05-01,Lindsay Park,0
2019-05-01,Memorial Drive at 19 St NW,492
2019-05-01,Memorial Drive at Prince's Island,0
2019-05-01,North Glenmore,0
2019-05-01,Nose Creek,658
2019-05-01,Parkdale,0
2019-05-01,Peace Bridge,866
2019-05-01,South Glenmore,296
2019-05-01,Wetlands,34
2019-05-02,10 Street North of 5 Ave NW,498
2019-05-02,12 Ave West of 2 St SW,708
2019-05-02,12 Ave West of 3 St SE,430
2019-05-02,12 Ave West of 8 St SW,624
2019-05-02,5 Street North of 10 Ave SW,1484
2019-05-02,5 Street North of 15 Ave SW,786
2019-05-02,5 Street North of 5 Ave SW,1070
2019-05-02,7 Street South of 3 Ave SW,608
2019-05-02,8 Ave West of 3 Street SW,0
2019-05-02,9 Ave West of 4 Street SE,286
2019-05-02,Bow River Pathway,1486
2019-05-02,Edmonton Tr North of Memorial Dr,166
2019-05-02,Inglewood Bird Sanctuary,0
2019-05-02,Lindsay Park,0
2019-05-02,Memorial Drive at 19 St NW,680
2019-05-02,Memorial Drive at Prince's Island,0
2019-05-02,North Glenmore,0
2019-05-02,Nose Creek,1276
2019-05-02,Parkdale,0
2019-05-02,Peace Bridge,1184
2019-05-02,South Glenmore,484
2019-05-02,Wetlands,60
2019-05-03,10 Street North of 5 Ave NW,472
2019-05-03,12 Ave West of 2 St SW,732
2019-05-03,12 Ave West of 3 St SE,388
2019-05-03,12 Ave West of 8 St SW,650
2019-05-03,5 Street North of 10 Ave SW,1558
2019-05-03,5 Street North of 15 Ave SW,936
2019-05-03,5 Street North of 5 Ave SW,1130
2019-05-03,7 Street South of 3 Ave SW,568
2019-05-03,8 Ave West of 3 Street SW,0
2019-05-03,9 Ave West of 4 Street SE,262
2019-05-03,Bow River Pathway,1446
2019-05-03,Edmonton Tr North of Memorial Dr,148
2019-05-03,Inglewood Bird Sanctuary,0
2019-05-03,Lindsay Park,0
2019-05-03,Memorial Drive at 19 St NW,601
2019-05-03,Memorial Drive at Prince's Island,0
2019-05-03,North Glenmore,0
2019-05-03,Nose Creek,1328
2019-05-03,Parkdale,0
2019-05-03,Peace Bridge,1038
2019-05-03,South Glenmore,458
2019-05-03,Wetlands,32
2019-05-04,10 Street North of 5 Ave NW,84
2019-05-04,12 Ave West of 2 St SW,178
2019-05-04,12 Ave West of 3 St SE,140
2019-05-04,12 Ave West of 8 St SW,138
2019-05-04,5 Street North of 10 Ave SW,230
2019-05-04,5 Street North of 15 Ave SW,182
2019-05-04,5 Street North of 5 Ave SW,150
2019-05-04,7 Street South of 3 Ave SW,60
2019-05-04,8 Ave West of 3 Street SW,0
2019-05-04,9 Ave West of 4 Street SE,104
2019-05-04,Bow River Pathway,174
2019-05-04,Edmonton Tr North of Memorial Dr,30
2019-05-04,Inglewood Bird Sanctuary,0
2019-05-04,Lindsay Park,0
2019-05-04,Memorial Drive at 19 St NW,105
2019-05-04,Memorial Drive at Prince's Island,0
2019-05-04,North Glenmore,0
2019-05-04,Nose Creek,1076
2019-05-04,Parkdale,0
2019-05-04,Peace Bridge,254
2019-05-04,South Glenmore,98
2019-05-04,Wetlands,4
2019-05-05,10 Street North of 5 Ave NW,132
2019-05-05,12 Ave West of 2 St SW,144
2019-05-05,12 Ave West of 3 St SE,122
2019-05-05,12 Ave West of 8 St SW,194
2019-05-05,5 Street North of 10 Ave SW,236
2019-05-05,5 Street North of 15 Ave SW,190
2019-05-05,5 Street North of 5 Ave SW,122
2019-05-05,7 Street South of 3 Ave SW,108
2019-05-05,8 Ave West of 3 Street SW,0
2019-05-05,9 Ave West of 4 Street SE,124
2019-05-05,Bow River Pathway,180
2019-05-05,Edmonton Tr North of Memorial Dr,34
2019-05-05,Inglewood Bird Sanctuary,0
2019-05-05,Lindsay Park,0
2019-05-05,Memorial Drive at 19 St NW,113
2019-05-05,Memorial Drive at Prince's Island,0
2019-05-05,North Glenmore,0
2019-05-05,Nose Creek,1570
2019-05-05,Parkdale,0
2019-05-05,Peace Bridge,290
2019-05-05,South Glenmore,110
2019-05-05,Wetlands,18
2019-05-06,10 Street North of 5 Ave NW,604
2019-05-06,12 Ave West of 2 St SW,740
2019-05-06,12 Ave West of 3 St SE,518
2019-05-06,12 Ave West of 8 St SW,768
2019-05-06,5 Street North of 10 Ave SW,1750
2019-05-06,5 Street North of 15 Ave SW,1050
2019-05-06,5 Street North of 5 Ave SW,1260
2019-05-06,7 Street South of 3 Ave SW,628
2019-05-06,8 Ave West of 3 Street SW,0
2019-05-06,9 Ave West of 4 Street SE,304
2019-05-06,Bow River Pathway,2062
2019-05-06,Edmonton Tr North of Memorial Dr,228
2019-05-06,Inglewood Bird Sanctuary,0
2019-05-06,Lindsay Park,0
2019-05-06,Memorial Drive at 19 St NW,921
2019-05-06,Memorial Drive at Prince's Island,0
2019-05-06,North Glenmore,0
2019-05-06,Nose Creek,1908
2019-05-06,Parkdale,0
2019-05-06,Peace Bridge,1540
2019-05-06,South Glenmore,760
2019-05-06,Wetlands,100
2019-05-07,10 Street North of 5 Ave NW,586
2019-05-07,12 Ave West of 2 St SW,734
2019-05-07,12 Ave West of 3 St SE,418
2019-05-07,12 Ave West of 8 St SW,664
2019-05-07,5 Street North of 10 Ave SW,1666
2019-05-07,5 Street North of 15 Ave SW,984
2019-05-07,5 Street North of 5 Ave SW,1256
2019-05-07,7 Street South of 3 Ave SW,660
2019-05-07,8 Ave West of 3 Street SW,0
2019-05-07,9 Ave West of 4 Street SE,302
2019-05-07,Bow River Pathway,1784
2019-05-07,Edmonton Tr North of Memorial Dr,220
2019-05-07,Inglewood Bird Sanctuary,0
2019-05-07,Lindsay Park,0
2019-05-07,Memorial Drive at 19 St NW,724
2019-05-07,Memorial Drive at Prince's Island,0
2019-05-07,North Glenmore,0
2019-05-07,Nose Creek,1038
2019-05-07,Parkdale,0
2019-05-07,Peace Bridge,1326
2019-05-07,South Glenmore,426
2019-05-07,Wetlands,20
2019-05-08,10 Street North of 5 Ave NW,546
2019-05-08,12 Ave West of 2 St SW,836
2019-05-08,12 Ave West of 3 St SE,488
2019-05-08,12 Ave West of 8 St SW,778
2019-05-08,5 Street North of 10 Ave SW,1740
2019-05-08,5 Street North of 15 Ave SW,998
2019-05-08,5 Street North of 5 Ave SW,1306
2019-05-08,7 Street South of 3 Ave SW,596
2019-05-08,8 Ave West of 3 Street SW,0
2019-05-08,9 Ave West of 4 Street SE,268
2019-05-08,Bow River Pathway,1900
2019-05-08,Edmonton Tr North of Memorial Dr,170
2019-05-08,Inglewood Bird Sanctuary,0
2019-05-08,Lindsay Park,0
2019-05-08,Memorial Drive at 19 St NW,804
2019-05-08,Memorial Drive at Prince's Island,0
2019-05-08,North Glenmore,0
2019-05-08,Nose Creek,1352
2019-05-08,Parkdale,0
2019-05-08,Peace Bridge,1394
2019-05-08,South Glenmore,0
2019-05-08,Wetlands,84
2019-05-09,10 Street North of 5 Ave NW,786
2019-05-09,12 Ave West of 2 St SW,1134
2019-05-09,12 Ave West of 3 St SE,818
2019-05-09,12 Ave West of 8 St SW,962
2019-05-09,5 Street North of 10 Ave SW,2442
2019-05-09,5 Street North of 15 Ave SW,1440
2019-05-09,5 Street North of 5 Ave SW,1858
2019-05-09,7 Street South of 3 Ave SW,876
2019-05-09,8 Ave West of 3 Street SW,0
2019-05-09,9 Ave West of 4 Street SE,390
2019-05-09,Bow River Pathway,2846
2019-05-09,Edmonton Tr North of Memorial Dr,254
2019-05-09,Inglewood Bird Sanctuary,0
2019-05-09,Lindsay Park,0
2019-05-09,Memorial Drive at 19 St NW,1262
2019-05-09,Memorial Drive at Prince's Island,0
2019-05-09,North Glenmore,0
2019-05-09,Nose Creek,344
2019-05-09,Parkdale,0
2019-05-09,Peace Bridge,2322
2019-05-09,South Glenmore,1288
2019-05-09,Wetlands,88
2019-05-10,10 Street North of 5 Ave NW,648
2019-05-10,12 Ave West of 2 St SW,1046
2019-05-10,12 Ave West of 3 St SE,752
2019-05-10,12 Ave West of 8 St SW,914
2019-05-10,5 Street North of 10 Ave SW,2158
2019-05-10,5 Street North of 15 Ave SW,1182
2019-05-10,5 Street North of 5 Ave SW,1628
2019-05-10,7 Street South of 3 Ave SW,728
2019-05-10,8 Ave West of 3 Street SW,0
2019-05-10,9 Ave West of 4 Street SE,402
2019-05-10,Bow River Pathway,2198
2019-05-10,Edmonton Tr North of Memorial Dr,304
2019-05-10,Inglewood Bird Sanctuary,0
2019-05-10,Lindsay Park,0
2019-05-10,Memorial Drive at 19 St NW,999
2019-05-10,Memorial Drive at Prince's Island,0
2019-05-10,North Glenmore,0
2019-05-10,Nose Creek,386
2019-05-10,Parkdale,0
2019-05-10,Peace Bridge,2218
2019-05-10,South Glenmore,862
2019-05-10,Wetlands,86
2019-05-11,10 Street North of 5 Ave NW,792
2019-05-11,12 Ave West of 2 St SW,1288
2019-05-11,12 Ave West of 3 St SE,1052
2019-05-11,12 Ave West of 8 St SW,1286
2019-05-11,5 Street North of 10 Ave SW,2134
2019-05-11,5 Street North of 15 Ave SW,944
2019-05-11,5 Street North of 5 Ave SW,1388
2019-05-11,7 Street South of 3 Ave SW,548
2019-05-11,8 Ave West of 3 Street SW,0
2019-05-11,9 Ave West of 4 Street SE,454
2019-05-11,Bow River Pathway,3796
2019-05-11,Edmonton Tr North of Memorial Dr,462
2019-05-11,Inglewood Bird Sanctuary,0
2019-05-11,Lindsay Park,0
2019-05-11,Memorial Drive at 19 St NW,2388
2019-05-11,Memorial Drive at Prince's Island,0
2019-05-11,North Glenmore,0
2019-05-11,Nose Creek,646
2019-05-11,Parkdale,0
2019-05-11,Peace Bridge,4232
2019-05-11,South Glenmore,3104
2019-05-11,Wetlands,278
2019-05-12,10 Street North of 5 Ave NW,554
2019-05-12,12 Ave West of 2 St SW,900
2019-05-12,12 Ave West of 3 St SE,758
2019-05-12,12 Ave West of 8 St SW,852
2019-05-12,5 Street North of 10 Ave SW,1278
2019-05-12,5 Street North of 15 Ave SW,704
2019-05-12,5 Street North of 5 Ave SW,878
2019-05-12,7 Street South of 3 Ave SW,494
2019-05-12,8 Ave West of 3 Street SW,0
2019-05-12,9 Ave West of 4 Street SE,198
2019-05-12,Bow River Pathway,2692
2019-05-12,Edmonton Tr North of Memorial Dr,400
2019-05-12,Inglewood Bird Sanctuary,0
2019-05-12,Lindsay Park,0
2019-05-12,Memorial Drive at 19 St NW,1698
2019-05-12,Memorial Drive at Prince's Island,0
2019-05-12,North Glenmore,0
2019-05-12,Nose Creek,1956
2019-05-12,Parkdale,0
2019-05-12,Peace Bridge,3368
2019-05-12,South Glenmore,2596
2019-05-12,Wetlands,278
2019-05-13,10 Street North of 5 Ave NW,784
2019-05-13,12 Ave West of 2 St SW,1036
2019-05-13,12 Ave West of 3 St SE,762
2019-05-13,12 Ave West of 8 St SW,1034
2019-05-13,5 Street North of 10 Ave SW,2380
2019-05-13,5 Street North of 15 Ave SW,1426
2019-05-13,5 Street North of 5 Ave SW,1716
2019-05-13,7 Street South of 3 Ave SW,958
2019-05-13,8 Ave West of 3 Street SW,0
2019-05-13,9 Ave West of 4 Street SE,394
2019-05-13,Bow River Pathway,2868
2019-05-13,Edmonton Tr North of Memorial Dr,266
2019-05-13,Inglewood Bird Sanctuary,0
2019-05-13,Lindsay Park,0
2019-05-13,Memorial Drive at 19 St NW,1172
2019-05-13,Memorial Drive at Prince's Island,0
2019-05-13,North Glenmore,0
2019-05-13,Nose Creek,1948
2019-05-13,Parkdale,0
2019-05-13,Peace Bridge,2382
2019-05-13,South Glenmore,1092
2019-05-13,Wetlands,98
2019-05-14,10 Street North of 5 Ave NW,844
2019-05-14,12 Ave West of 2 St SW,1104
2019-05-14,12 Ave West of 3 St SE,720
2019-05-14,12 Ave West of 8 St SW,1064
2019-05-14,5 Street North of 10 Ave SW,2512
2019-05-14,5 Street North of 15 Ave SW,1374
2019-05-14,5 Street North of 5 Ave SW,1864
2019-05-14,7 Street South of 3 Ave SW,922
2019-05-14,8 Ave West of 3 Street SW,0
2019-05-14,9 Ave West of 4 Street SE,414
2019-05-14,Bow River Pathway,2838
2019-05-14,Edmonton Tr North of Memorial Dr,328
2019-05-14,Inglewood Bird Sanctuary,0
2019-05-14,Lindsay Park,0
2019-05-14,Memorial Drive at 19 St NW,1230
2019-05-14,Memorial Drive at Prince's Island,0
2019-05-14,North Glenmore,0
2019-05-14,Nose Creek,1620
2019-05-14,Parkdale,0
2019-05-14,Peace Bridge,2262
2019-05-14,South Glenmore,1256
2019-05-14,Wetlands,96
2019-05-15,10 Street North of 5 Ave NW,822
2019-05-15,12 Ave West of 2 St SW,1106
2019-05-15,12 Ave West of 3 St SE,692
2019-05-15,12 Ave West of 8 St SW,1060
2019-05-15,5 Street North of 10 Ave SW,2456
2019-05-15,5 Street North of 15 Ave SW,1146
2019-05-15,5 Street North of 5 Ave SW,1766
2019-05-15,7 Street South of 3 Ave SW,814
2019-05-15,8 Ave West of 3 Street SW,0
2019-05-15,9 Ave West of 4 Street SE,374
2019-05-15,Bow River Pathway,2494
2019-05-15,Edmonton Tr North of Memorial Dr,286
2019-05-15,Inglewood Bird Sanctuary,0
2019-05-15,Lindsay Park,0
2019-05-15,Memorial Drive at 19 St NW,1075
2019-05-15,Memorial Drive at Prince's Island,0
2019-05-15,North Glenmore,0
2019-05-15,Nose Creek,1692
2019-05-15,Parkdale,0
2019-05-15,Peace Bridge,2064
2019-05-15,South Glenmore,968
2019-05-15,Wetlands,54
2019-05-16,10 Street North of 5 Ave NW,388
2019-05-16,12 Ave West of 2 St SW,602
2019-05-16,12 Ave West of 3 St SE,360
2019-05-16,12 Ave West of 8 St SW,526
2019-05-16,5 Street North of 10 Ave SW,1288
2019-05-16,5 Street North of 15 Ave SW,638
2019-05-16,5 Street North of 5 Ave SW,882
2019-05-16,7 Street South of 3 Ave SW,448
2019-05-16,8 Ave West of 3 Street SW,0
2019-05-16,9 Ave West of 4 Street SE,276
2019-05-16,Bow River Pathway,980
2019-05-16,Edmonton Tr North of Memorial Dr,138
2019-05-16,Inglewood Bird Sanctuary,0
2019-05-16,Lindsay Park,0
2019-05-16,Memorial Drive at 19 St NW,416
2019-05-16,Memorial Drive at Prince's Island,0
2019-05-16,North Glenmore,0
2019-05-16,Nose Creek,1278
2019-05-16,Parkdale,0
2019-05-16,Peace Bridge,802
2019-05-16,South Glenmore,216
2019-05-16,Wetlands,6
2019-05-17,10 Street North of 5 Ave NW,250
2019-05-17,12 Ave West of 2 St SW,256
2019-05-17,12 Ave West of 3 St SE,150
2019-05-17,12 Ave West of 8 St SW,294
2019-05-17,5 Street North of 10 Ave SW,818
2019-05-17,5 Street North of 15 Ave SW,290
2019-05-17,5 Street North of 5 Ave SW,522
2019-05-17,7 Street South of 3 Ave SW,224
2019-05-17,8 Ave West of 3 Street SW,0
2019-05-17,9 Ave West of 4 Street SE,128
2019-05-17,Bow River Pathway,496
2019-05-17,Edmonton Tr North of Memorial Dr,72
2019-05-17,Inglewood Bird Sanctuary,0
2019-05-17,Lindsay Park,0
2019-05-17,Memorial Drive at 19 St NW,203
2019-05-17,Memorial Drive at Prince's Island,0
2019-05-17,North Glenmore,0
2019-05-17,Nose Creek,234
2019-05-17,Parkdale,0
2019-05-17,Peace Bridge,412
2019-05-17,South Glenmore,114
2019-05-17,Wetlands,6
2019-05-18,10 Street North of 5 Ave NW,102
2019-05-18,12 Ave West of 2 St SW,264
2019-05-18,12 Ave West of 3 St SE,174
2019-05-18,12 Ave West of 8 St SW,222
2019-05-18,5 Street North of 10 Ave SW,320
2019-05-18,5 Street North of 15 Ave SW,152
2019-05-18,5 Street North of 5 Ave SW,170
2019-05-18,7 Street South of 3 Ave SW,116
2019-05-18,8 Ave West of 3 Street SW,0
2019-05-18,9 Ave West of 4 Street SE,104
2019-05-18,Bow River Pathway,184
2019-05-18,Edmonton Tr North of Memorial Dr,52
2019-05-18,Inglewood Bird Sanctuary,0
2019-05-18,Lindsay Park,0
2019-05-18,Memorial Drive at 19 St NW,122
2019-05-18,Memorial Drive at Prince's Island,0
2019-05-18,North Glenmore,0
2019-05-18,Nose Creek,830
2019-05-18,Parkdale,0
2019-05-18,Peace Bridge,318
2019-05-18,South Glenmore,124
2019-05-18,Wetlands,10
2019-05-19,10 Street North of 5 Ave NW,300
2019-05-19,12 Ave West of 2 St SW,588
2019-05-19,12 Ave West of 3 St SE,498
2019-05-19,12 Ave West of 8 St SW,538
2019-05-19,5 Street North of 10 Ave SW,724
2019-05-19,5 Street North of 15 Ave SW,32
2019-05-19,5 Street North of 5 Ave SW,478
2019-05-19,7 Street South of 3 Ave SW,230
2019-05-19,8 Ave West of 3 Street SW,0
2019-05-19,9 Ave West of 4 Street SE,162
2019-05-19,Bow River Pathway,1104
2019-05-19,Edmonton Tr North of Memorial Dr,186
2019-05-19,Inglewood Bird Sanctuary,0
2019-05-19,Lindsay Park,0
2019-05-19,Memorial Drive at 19 St NW,732
2019-05-19,Memorial Drive at Prince's Island,0
2019-05-19,North Glenmore,0
2019-05-19,Nose Creek,920
2019-05-19,Parkdale,0
2019-05-19,Peace Bridge,1174
2019-05-19,South Glenmore,1064
2019-05-19,Wetlands,116
2019-05-20,10 Street North of 5 Ave NW,306
2019-05-20,12 Ave West of 2 St SW,482
2019-05-20,12 Ave West of 3 St SE,342
2019-05-20,12 Ave West of 8 St SW,444
2019-05-20,5 Street North of 10 Ave SW,804
2019-05-20,5 Street North of 15 Ave SW,28
2019-05-20,5 Street North of 5 Ave SW,544
2019-05-20,7 Street South of 3 Ave SW,296
2019-05-20,8 Ave West of 3 Street SW,0
2019-05-20,9 Ave West of 4 Street SE,128
2019-05-20,Bow River Pathway,1292
2019-05-20,Edmonton Tr North of Memorial Dr,170
2019-05-20,Inglewood Bird Sanctuary,0
2019-05-20,Lindsay Park,0
2019-05-20,Memorial Drive at 19 St NW,731
2019-05-20,Memorial Drive at Prince's Island,0
2019-05-20,North Glenmore,0
2019-05-20,Nose Creek,1982
2019-05-20,Parkdale,0
2019-05-20,Peace Bridge,1240
2019-05-20,South Glenmore,1158
2019-05-20,Wetlands,44
2019-05-21,10 Street North of 5 Ave NW,430
2019-05-21,12 Ave West of 2 St SW,578
2019-05-21,12 Ave West of 3 St SE,346
2019-05-21,12 Ave West of 8 St SW,510
2019-05-21,5 Street North of 10 Ave SW,1216
2019-05-21,5 Street North of 15 Ave SW,660
2019-05-21,5 Street North of 5 Ave SW,892
2019-05-21,7 Street South of 3 Ave SW,532
2019-05-21,8 Ave West of 3 Street SW,0
2019-05-21,9 Ave West of 4 Street SE,226
2019-05-21,Bow River Pathway,1304
2019-05-21,Edmonton Tr North of Memorial Dr,112
2019-05-21,Inglewood Bird Sanctuary,0
2019-05-21,Lindsay Park,0
2019-05-21,Memorial Drive at 19 St NW,472
2019-05-21,Memorial Drive at Prince's Island,0
2019-05-21,North Glenmore,0
2019-05-21,Nose Creek,2224
2019-05-21,Parkdale,0
2019-05-21,Peace Bridge,846
2019-05-21,South Glenmore,232
2019-05-21,Wetlands,4
2019-05-22,10 Street North of 5 Ave NW,856
2019-05-22,12 Ave West of 2 St SW,1270
2019-05-22,12 Ave West of 3 St SE,894
2019-05-22,12 Ave West of 8 St SW,1120
2019-05-22,5 Street North of 10 Ave SW,2572
2019-05-22,5 Street North of 15 Ave SW,1554
2019-05-22,5 Street North of 5 Ave SW,1880
2019-05-22,7 Street South of 3 Ave SW,932
2019-05-22,8 Ave West of 3 Street SW,0
2019-05-22,9 Ave West of 4 Street SE,426
2019-05-22,Bow River Pathway,3288
2019-05-22,Edmonton Tr North of Memorial Dr,384
2019-05-22,Inglewood Bird Sanctuary,0
2019-05-22,Lindsay Park,0
2019-05-22,Memorial Drive at 19 St NW,1447
2019-05-22,Memorial Drive at Prince's Island,0
2019-05-22,North Glenmore,0
2019-05-22,Nose Creek,1476
2019-05-22,Parkdale,0
2019-05-22,Peace Bridge,2686
2019-05-22,South Glenmore,1566
2019-05-22,Wetlands,154
2019-05-23,10 Street North of 5 Ave NW,860
2019-05-23,12 Ave West of 2 St SW,1312
2019-05-23,12 Ave West of 3 St SE,980
2019-05-23,12 Ave West of 8 St SW,1200
2019-05-23,5 Street North of 10 Ave SW,2662
2019-05-23,5 Street North of 15 Ave SW,1702
2019-05-23,5 Street North of 5 Ave SW,2018
2019-05-23,7 Street South of 3 Ave SW,852
2019-05-23,8 Ave West of 3 Street SW,0
2019-05-23,9 Ave West of 4 Street SE,422
2019-05-23,Bow River Pathway,3322
2019-05-23,Edmonton Tr North of Memorial Dr,360
2019-05-23,Inglewood Bird Sanctuary,0
2019-05-23,Lindsay Park,0
2019-05-23,Memorial Drive at 19 St NW,1381
2019-05-23,Memorial Drive at Prince's Island,0
2019-05-23,North Glenmore,0
2019-05-23,Nose Creek,1516
2019-05-23,Parkdale,0
2019-05-23,Peace Bridge,2542
2019-05-23,South Glenmore,1540
2019-05-23,Wetlands,112
2019-05-24,10 Street North of 5 Ave NW,578
2019-05-24,12 Ave West of 2 St SW,1010
2019-05-24,12 Ave West of 3 St SE,678
2019-05-24,12 Ave West of 8 St SW,860
2019-05-24,5 Street North of 10 Ave SW,1964
2019-05-24,5 Street North of 15 Ave SW,1006
2019-05-24,5 Street North of 5 Ave SW,1228
2019-05-24,7 Street South of 3 Ave SW,656
2019-05-24,8 Ave West of 3 Street SW,0
2019-05-24,9 Ave West of 4 Street SE,330
2019-05-24,Bow River Pathway,1734
2019-05-24,Edmonton Tr North of Memorial Dr,252
2019-05-24,Inglewood Bird Sanctuary,0
2019-05-24,Lindsay Park,0
2019-05-24,Memorial Drive at 19 St NW,693
2019-05-24,Memorial Drive at Prince's Island,0
2019-05-24,North Glenmore,0
2019-05-24,Nose Creek,1288
2019-05-24,Parkdale,0
2019-05-24,Peace Bridge,1426
2019-05-24,South Glenmore,650
2019-05-24,Wetlands,54
2019-05-25,10 Street North of 5 Ave NW,178
2019-05-25,12 Ave West of 2 St SW,368
2019-05-25,12 Ave West of 3 St SE,282
2019-05-25,12 Ave West of 8 St SW,290
2019-05-25,5 Street North of 10 Ave SW,442
2019-05-25,5 Street North of 15 Ave SW,326
2019-05-25,5 Street North of 5 Ave SW,200
2019-05-25,7 Street South of 3 Ave SW,120
2019-05-25,8 Ave West of 3 Street SW,0
2019-05-25,9 Ave West of 4 Street SE,96
2019-05-25,Bow River Pathway,356
2019-05-25,Edmonton Tr North of Memorial Dr,102
2019-05-25,Inglewood Bird Sanctuary,0
2019-05-25,Lindsay Park,0
2019-05-25,Memorial Drive at 19 St NW,179
2019-05-25,Memorial Drive at Prince's Island,0
2019-05-25,North Glenmore,0
2019-05-25,Nose Creek,1530
2019-05-25,Parkdale,0
2019-05-25,Peace Bridge,374
2019-05-25,South Glenmore,200
2019-05-25,Wetlands,4
2019-05-26,10 Street North of 5 Ave NW,668
2019-05-26,12 Ave West of 2 St SW,1126
2019-05-26,12 Ave West of 3 St SE,964
2019-05-26,12 Ave West of 8 St SW,1092
2019-05-26,5 Street North of 10 Ave SW,1512
2019-05-26,5 Street North of 15 Ave SW,1042
2019-05-26,5 Street North of 5 Ave SW,1082
2019-05-26,7 Street South of 3 Ave SW,484
2019-05-26,8 Ave West of 3 Street SW,0
2019-05-26,9 Ave West of 4 Street SE,286
2019-05-26,Bow River Pathway,3256
2019-05-26,Edmonton Tr North of Memorial Dr,414
2019-05-26,Inglewood Bird Sanctuary,0
2019-05-26,Lindsay Park,0
2019-05-26,Memorial Drive at 19 St NW,2028
2019-05-26,Memorial Drive at Prince's Island,0
2019-05-26,North Glenmore,0
2019-05-26,Nose Creek,1496
2019-05-26,Parkdale,0
2019-05-26,Peace Bridge,3506
2019-05-26,South Glenmore,2934
2019-05-26,Wetlands,276
2019-05-27,10 Street North of 5 Ave NW,974
2019-05-27,12 Ave West of 2 St SW,1308
2019-05-27,12 Ave West of 3 St SE,982
2019-05-27,12 Ave West of 8 St SW,1242
2019-05-27,5 Street North of 10 Ave SW,2938
2019-05-27,5 Street North of 15 Ave SW,1696
2019-05-27,5 Street North of 5 Ave SW,2120
2019-05-27,7 Street South of 3 Ave SW,1028
2019-05-27,8 Ave West of 3 Street SW,0
2019-05-27,9 Ave West of 4 Street SE,490
2019-05-27,Bow River Pathway,4018
2019-05-27,Edmonton Tr North of Memorial Dr,436
2019-05-27,Inglewood Bird Sanctuary,0
2019-05-27,Lindsay Park,0
2019-05-27,Memorial Drive at 19 St NW,1793
2019-05-27,Memorial Drive at Prince's Island,0
2019-05-27,North Glenmore,0
2019-05-27,Nose Creek,2120
2019-05-27,Parkdale,0
2019-05-27,Peace Bridge,3038
2019-05-27,South Glenmore,2020
2019-05-27,Wetlands,232
2019-05-28,10 Street North of 5 Ave NW,1036
2019-05-28,12 Ave West of 2 St SW,1624
2019-05-28,12 Ave West of 3 St SE,1244
2019-05-28,12 Ave West of 8 St SW,1396
2019-05-28,5 Street North of 10 Ave SW,3360
2019-05-28,5 Street North of 15 Ave SW,1992
2019-05-28,5 Street North of 5 Ave SW,2386
2019-05-28,7 Street South of 3 Ave SW,1134
2019-05-28,8 Ave West of 3 Street SW,0
2019-05-28,9 Ave West of 4 Street SE,424
2019-05-28,Bow River Pathway,4046
2019-05-28,Edmonton Tr North of Memorial Dr,478
2019-05-28,Inglewood Bird Sanctuary,0
2019-05-28,Lindsay Park,0
2019-05-28,Memorial Drive at 19 St NW,1730
2019-05-28,Memorial Drive at Prince's Island,0
2019-05-28,North Glenmore,0
2019-05-28,Nose Creek,1784
2019-05-28,Parkdale,0
2019-05-28,Peace Bridge,3108
2019-05-28,South Glenmore,1990
2019-05-28,Wetlands,142
2019-05-29,10 Street North of 5 Ave NW,992
2019-05-29,12 Ave West of 2 St SW,1540
